row_id,day_after_flowering,fruit_length,fruit_diameter
435,22,19.5,21.13333333
436,22,19.96666667,21.16666667
437,22,19.43333333,21.53333333
438,22,19.73333333,21.56666667
439,22,20.13333333,21.6
440,22,18.33333333,21.63333333
441,22,21.16666667,21.73333333
442,22,20.53333333,21.73333333
443,22,19.2,21.76666667
444,22,20.76666667,21.76666667
445,22,19.3,21.8
446,22,18.8,22.06666667
447,22,20.4,22.1
448,22,20.63333333,22.2
449,22,20.36666667,22.26666667
450,22,15.0,22.33333333
451,22,22.1,22.43333333
452,22,19.43333333,22.43333333
453,22,15.15,22.6
454,22,20.53333333,22.66666667
455,22,20.9,22.76666667
456,22,19.43333333,22.76666667
457,22,21.16666667,22.8
458,22,15.1,22.8
459,22,16.3,22.83333333
460,22,14.96666667,23.0
461,22,18.06666667,23.03333333
462,22,12.2,23.05
463,22,17.4,23.23333333
464,22,18.5,23.23333333
465,22,20.73333333,23.56666667
466,22,19.96666667,23.56666667
467,22,21.03333333,23.66666667
468,22,20.9,23.7
469,22,22.53333333,23.9
470,22,17.33333333,23.96666667
471,22,22.23333333,23.96666667
472,22,20.66666667,24.13333333
473,22,14.46666667,24.2
474,22,14.46666667,24.3
475,22,15.83333333,24.5
476,22,17.96666667,25.23333333
477,22,15.03333333,25.66666667
478,25,4.15,11.1
479,25,9.85,16.35
480,25,14.5,19.4
481,25,19.4,19.43333333
482,25,12.43333333,19.73333333
483,25,21.3,19.8
484,25,17.5,20.3
485,25,19.3,20.43333333
486,25,19.43333333,20.6
487,25,17.6,20.6
488,25,20.95,20.9
489,25,19.33333333,21.0
490,25,21.76666667,21.06666667
491,25,19.1,21.16666667
492,25,12.85,21.25
493,25,19.13333333,21.33333333
494,25,19.0,21.46666667
495,25,19.86666667,21.46666667
496,25,21.0,21.53333333
497,25,18.83333333,21.63333333
498,25,22.56666667,21.63333333
499,25,20.56666667,21.7
500,25,13.15,21.7
501,25,15.0,21.76666667
502,25,17.96666667,21.86666667
503,25,18.33333333,21.96666667
504,25,20.63333333,22.0
505,25,13.2,22.23333333
506,25,19.26666667,22.26666667
507,25,21.26666667,22.3
508,25,19.73333333,22.36666667
509,25,17.5,22.4
510,25,18.3,22.63333333
511,25,18.56666667,22.66666667
512,25,15.16666667,22.76666667
513,25,19.56666667,22.8
514,25,20.9,22.83333333
515,25,20.56666667,22.86666667
516,25,16.2,23.0
517,25,15.0,23.13333333
518,25,22.0,23.2
519,25,20.5,23.23333333
520,25,20.5,23.4
521,25,18.5,23.46666667
522,25,22.23333333,23.66666667
523,25,15.0,24.0
524,25,11.75,24.15
525,25,22.43333333,24.23333333
526,25,14.93333333,24.43333333
527,25,15.93333333,24.46666667
528,25,14.03333333,24.6
529,25,17.6,25.36666667
530,25,14.4,86.93333333
